Logistic Regression
55.18     Accuracy
55.18     Precision_macro
55.18     Recall_micro
Nearest Neighbors1
50.93     Accuracy
51.64     Precision_macro
50.92     Recall_micro
Nearest Neighbors3
50.51     Accuracy
51.14     Precision_macro
50.5     Recall_micro
Nearest Neighbors5
50.32     Accuracy
50.79     Precision_macro
50.32     Recall_micro
Linear SVM
55.51     Accuracy
55.52     Precision_macro
55.51     Recall_micro
