Logistic Regression
55.09     Accuracy
55.09     Precision_macro
55.09     Recall_micro
Nearest Neighbors1
50.78     Accuracy
51.5     Precision_macro
50.8     Recall_micro
Nearest Neighbors3
50.53     Accuracy
51.49     Precision_macro
50.56     Recall_micro
Nearest Neighbors5
50.35     Accuracy
51.12     Precision_macro
50.37     Recall_micro
Linear SVM
55.41     Accuracy
55.42     Precision_macro
55.42     Recall_micro
