Logistic Regression
54.92     Accuracy
54.92     Precision_macro
54.92     Recall_micro
Nearest Neighbors1
50.66     Accuracy
51.45     Precision_macro
50.81     Recall_micro
Nearest Neighbors3
50.17     Accuracy
50.81     Precision_macro
50.35     Recall_micro
Nearest Neighbors5
49.91     Accuracy
50.24     Precision_macro
50.1     Recall_micro
Linear SVM
55.58     Accuracy
55.58     Precision_macro
55.58     Recall_micro
